GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YDL020C,192.0464901,-1.472283052,0.376421171,15.68265564,7.49E-05,0.005029005
YKL062W,80.40952326,-1.470496047,0.514235114,8.303742036,0.003956348,0.076097583
YHR137W,460.6437653,-1.437015768,0.437800883,10.81362153,0.00100756,0.028777968
YKL120W,95.03195536,-1.432826022,0.454066411,10.50060897,0.001193352,0.032610295
YHR198C,77.59707896,-1.383737789,0.492239629,8.247004719,0.00408193,0.076280193
YHR030C,319.0246567,-1.37559092,0.362971044,14.62497821,0.000131164,0.007132725
YGL196W,95.39237256,-1.359720166,0.484758794,8.172180456,0.004253774,0.0778856
YHR142W,156.0426206,-1.343661354,0.411091723,10.88576881,0.000969059,0.028773349
YPR127W,84.44667797,-1.319616022,0.458732132,8.505742588,0.003540274,0.06975366
YDR171W,90.67800511,-1.312588107,0.467415563,7.828987567,0.005141489,0.088760056
YIL056W,112.3681755,-1.307622515,0.426721635,9.594615787,0.001951488,0.045545877
YOR303W,218.6487499,-1.298311304,0.356468662,13.45172979,0.00024478,0.010564411
YKR091W,110.1111855,-1.294308438,0.464349718,8.085562745,0.004461927,0.079815661
YER078C,89.57502742,-1.279464249,0.451259089,8.126311745,0.004362741,0.078921598
YLR274W,150.4031592,-1.200985083,0.421924912,8.308578894,0.003945825,0.076097583
YDR074W,391.2267606,-1.169895797,0.312102654,14.01589626,0.000181272,0.008961412
YHL021C,226.1609224,-1.12143039,0.387671252,8.284262493,0.003999014,0.076097583
YNL131W,196.7200372,-1.101813769,0.396597312,7.692355185,0.005545521,0.093075757
YOR175C,215.5504188,-1.029146885,0.348249677,8.719037555,0.003149042,0.064377791
YLR257W,392.3068627,-1.017530237,0.326593157,9.727315053,0.001815495,0.043684345
YER064C,353.9483274,-0.973768816,0.345516814,7.95145896,0.004804863,0.083478732
YER165W,2828.670886,0.749622392,0.258766032,8.368799728,0.003817177,0.074668366
YBR069C,426.3741079,0.765385498,0.278530942,7.533198249,0.006057228,0.099530418
YOR168W,908.0680994,0.800839912,0.260050955,9.471554142,0.002086825,0.048290019
YPL091W,386.0835134,0.807598295,0.292619668,7.589238261,0.005871775,0.097349741
YNL085W,487.7570589,0.839000166,0.281796898,8.863640386,0.002909068,0.061444032
YKR001C,550.7083907,0.844359901,0.296089494,8.117945284,0.004382921,0.078921598
YGR175C,1066.931816,0.847686979,0.299716211,7.963511633,0.004772972,0.083457952
YEL026W,766.8594725,0.861120723,0.303891428,7.980607981,0.004728106,0.083208546
YBR084W,706.40464,0.86392461,0.273713504,9.939261326,0.001617905,0.039685547
YGL234W,1049.574788,0.86515884,0.311101044,7.714227078,0.005478731,0.092814144
YDR238C,656.9231453,0.867136486,0.297018857,8.51482588,0.003522646,0.069658729
YDR341C,1073.519351,0.868702835,0.269937862,10.33467458,0.001305541,0.034644469
YJR075W,232.8895828,0.873299814,0.312856781,7.76344033,0.005331431,0.091458434
YCR017C,357.8235155,0.874399504,0.291854369,8.946971562,0.0027793,0.059975522
YGL026C,850.5102193,0.877218167,0.303868194,8.308855839,0.003945224,0.076097583
YEL042W,450.9703044,0.881936358,0.30525506,8.313874541,0.003934337,0.076097583
YJL034W,2390.112879,0.882597132,0.265080977,11.04179543,0.000890805,0.027523865
YHR205W,285.05134,0.885258299,0.296945646,8.838253383,0.002949813,0.061696477
YMR203W,645.9165566,0.891741042,0.260794688,11.64546486,0.000643592,0.021354401
YDR127W,830.0193171,0.894649192,0.310264767,8.291453017,0.00398321,0.076097583
YGL200C,366.6004892,0.895371414,0.292125461,9.351018868,0.002228615,0.051135909
YER001W,507.528128,0.895884597,0.311355362,8.270168194,0.004030177,0.076097583
YLR197W,1536.943767,0.898388308,0.321096977,7.800939286,0.005221908,0.089863092
YDR395W,633.2068946,0.900952458,0.275956387,10.65437444,0.001098109,0.030623157
YGL148W,811.8929834,0.908901241,0.304905808,8.851092057,0.002929136,0.061500543
YPR033C,631.348638,0.909877541,0.279368967,10.57869064,0.001143987,0.031685472
YBR121C,1528.467772,0.91412514,0.253010461,13.01371913,0.000309217,0.012643031
YOR151C,537.1508569,0.917804915,0.269378611,11.5759858,0.00066809,0.021885987
YKL184W,218.8535847,0.920913523,0.330501419,7.742764347,0.005392818,0.092220585
YOR335C,1387.639614,0.936567674,0.290239081,10.38173088,0.001272683,0.034330611
YOR086C,260.3419509,0.943131007,0.302342226,9.693666716,0.001849042,0.044101273
YBR036C,347.1351335,0.952797966,0.297424623,10.18756317,0.00141391,0.036497243
YGL084C,191.6663992,0.953776089,0.335496946,8.048689519,0.004553658,0.080660565
YGL137W,691.9931104,0.964817558,0.260789347,13.65391018,0.000219783,0.010043536
YJL172W,347.8195267,0.96563523,0.30270629,10.14117224,0.001449939,0.036673348
YPR145W,1583.173375,0.97181972,0.282657384,11.78374615,0.000597501,0.02029636
YIL030C,302.3061109,0.976311948,0.305167966,10.22902527,0.001382477,0.035970862
YPR074C,3156.956982,0.984933652,0.29947284,10.77059319,0.001031255,0.029056799
YOR310C,1494.28778,0.989700519,0.309821221,10.15171381,0.001441672,0.036634625
YJL109C,656.5439044,0.991820477,0.345169666,8.252823531,0.004068866,0.076280193
YKL157W,432.6030806,0.993588508,0.293851505,11.43402128,0.000721114,0.02306718
YGL028C,269.2597939,0.995935636,0.350070965,8.063971757,0.004515409,0.08024443
YAL021C,207.9075001,0.997691121,0.348509868,8.178066455,0.004239993,0.0778856
YOR027W,1081.239528,1.008732308,0.28352761,12.60482805,0.000384752,0.014838861
YJR045C,3021.625811,1.009184106,0.305655624,10.85141987,0.0009872,0.028777968
YGL167C,395.393372,1.011806169,0.274675572,13.52359661,0.000235582,0.010369339
YEL063C,232.4770007,1.016054365,0.357845416,7.988646277,0.00470716,0.083108879
YJR077C,718.9227326,1.021014387,0.294206183,11.97874007,0.00053811,0.01912575
YMR305C,636.3107017,1.026917369,0.293962865,12.11040263,0.000501413,0.018177895
YOR085W,277.4287549,1.028499039,0.330239956,9.642876503,0.001900873,0.044943255
YER166W,191.5779095,1.031099301,0.343629892,8.956831474,0.002764339,0.059890344
YGL008C,13117.09423,1.032012132,0.36455499,7.971288821,0.004752509,0.083368205
YBR127C,1493.132565,1.03405971,0.270369123,14.55579073,0.00013607,0.007326214
YGR155W,1977.989123,1.034999868,0.300169581,11.82986953,0.000582881,0.020095681
YNL087W,202.0388743,1.046719786,0.32445569,10.37801796,0.001275245,0.034330611
YMR011W,766.7415492,1.048339032,0.37815488,7.67511972,0.005598738,0.093679805
YMR309C,1123.434605,1.049692088,0.339945078,9.499266549,0.00205554,0.047769355
YHR165C,237.4089177,1.051623087,0.322806205,10.57244918,0.001147855,0.031685472
YMR308C,684.2434665,1.056403814,0.278333624,14.35011903,0.00015177,0.007812998
YAL023C,811.5117001,1.063778216,0.268885399,15.57366425,7.94E-05,0.005137109
YHR064C,2106.800278,1.065877604,0.303835904,12.23650425,0.000468635,0.0173461
YER036C,1486.619535,1.069417643,0.3135475,11.56337917,0.000672635,0.021902928
YGL139W,142.1679512,1.070074273,0.374708082,8.106185656,0.004411446,0.079173075
YDR226W,987.0442126,1.071650363,0.249016838,18.42507468,1.77E-05,0.001434311
YPL106C,3314.004855,1.073118379,0.272934013,15.37712302,8.80E-05,0.005550158
YIL078W,1899.99014,1.07390873,0.273343209,15.36117108,8.88E-05,0.005550158
YJR131W,117.1640141,1.078470992,0.3893172,7.633629894,0.005728989,0.095272908
YHR174W,62755.79986,1.079643581,0.374245047,8.274310246,0.004020994,0.076097583
YBR088C,296.2120601,1.080633948,0.365954673,8.67963592,0.003217853,0.065293592
YHR027C,632.7854765,1.081471377,0.326801924,10.92059932,0.000951008,0.028509003
YMR079W,474.6430816,1.08161801,0.278707397,15.00042823,0.000107487,0.006268116
YBL076C,2059.896482,1.084071452,0.311672599,12.04181589,0.000520203,0.018610936
YLL034C,172.5657905,1.085921156,0.381078791,8.122597216,0.004371688,0.078921598
YER126C,221.0930498,1.086339867,0.361896603,8.938474494,0.002792258,0.060016997
YMR012W,994.7979247,1.088917472,0.293172933,13.7462959,0.000209233,0.009848471
YLR153C,1338.520254,1.090105378,0.282048374,14.86208453,0.000115665,0.00655192
YDL148C,230.5292426,1.091901474,0.382039385,8.173822666,0.004249925,0.0778856
YDR497C,368.7401744,1.104694142,0.297723458,13.70658833,0.000213703,0.009848471
YBR196C,5848.137308,1.105809901,0.314582513,12.28393904,0.000456873,0.017134315
YDL128W,147.2335626,1.105852375,0.35966374,9.430303694,0.002134289,0.049179093
YNL216W,207.6049982,1.107969667,0.335395236,10.8380936,0.000994331,0.028777968
YPL085W,299.9121953,1.108924091,0.35184368,9.898228007,0.00165438,0.040163028
YDR502C,714.8214656,1.109312347,0.255907306,18.66608591,1.56E-05,0.001283103
YLR044C,62546.85127,1.114480583,0.309472308,12.88906277,0.000330508,0.013118992
YIL108W,154.1812351,1.133038154,0.353634251,10.17526732,0.001423371,0.036497243
YOR326W,344.1167463,1.136824113,0.38087315,8.885856097,0.002873883,0.061285027
YCR069W,141.9204701,1.137647801,0.37289949,9.267913788,0.002332032,0.053061041
YPL217C,330.5635801,1.14318436,0.415451042,7.54983682,0.006001551,0.099198887
YDR170C,411.9267009,1.149498969,0.348925266,10.82016654,0.001004005,0.028777968
YBL017C,337.9655641,1.150619577,0.336617858,11.64023196,0.000645406,0.021354401
YLR384C,397.3004931,1.162224481,0.37468741,9.608878005,0.001936389,0.045388294
YDR234W,182.9217376,1.163026674,0.363742198,10.17500755,0.001423571,0.036497243
YHR042W,658.9229017,1.173669647,0.325013317,12.97395523,0.000315854,0.012818018
YGL191W,180.6156075,1.175327776,0.414262401,7.952784618,0.004801344,0.083478732
YDR301W,103.9689902,1.18244056,0.403889568,8.536226387,0.003481467,0.069603735
YDR028C,213.6184891,1.183220419,0.336389695,12.36365821,0.000437772,0.016757246
YER043C,3016.216916,1.183848919,0.304975729,14.96538008,0.000109502,0.006268116
YGR094W,1821.784567,1.184018294,0.317040371,13.86193842,0.000196743,0.009468033
YHL007C,169.5306286,1.184564751,0.358971685,10.8034972,0.001013085,0.028777968
YCR011C,286.9792382,1.186723347,0.325590261,13.24590024,0.000273177,0.011427191
YCR012W,22279.88506,1.187723031,0.340531448,12.08024589,0.000509589,0.018351945
YLR180W,1095.381873,1.188168896,0.327286136,13.10128263,0.000295094,0.012156965
YOL090W,202.0652638,1.190238329,0.325322816,13.32162204,0.000262363,0.0112341
YGR118W,2033.22176,1.193527383,0.40037328,8.81739846,0.002983718,0.062166499
YKL010C,182.2342317,1.194611822,0.369447161,10.44134363,0.001232256,0.03350504
YGR218W,582.1965045,1.196857624,0.254100425,22.08942074,2.60E-06,0.00029483
YKL210W,1021.52296,1.202238841,0.325676358,13.56604721,0.000230314,0.010350801
YEL031W,948.9834826,1.205130531,0.298163827,16.23466069,5.60E-05,0.003852089
YER131W,1128.774809,1.207086591,0.418193562,8.260723167,0.004051199,0.076229822
YDL126C,1781.640343,1.207495734,0.316900198,14.419169,0.000146305,0.007724359
YKL004W,246.4659619,1.208917434,0.321756533,13.98150271,0.000184618,0.009044619
YKL182W,4004.870709,1.212878132,0.379853774,10.12394349,0.001463555,0.036846359
YPR154W,88.83029728,1.21381222,0.412140924,8.725838878,0.003137317,0.064377791
YIL094C,206.7149228,1.217269448,0.409488514,9.014390577,0.002678622,0.058973059
YDR019C,158.5965738,1.220765162,0.419563233,8.596302054,0.003368463,0.067592994
YOR317W,508.9120048,1.220794027,0.309278916,15.59413671,7.85E-05,0.005137109
YPL226W,1303.591589,1.225658054,0.321566147,14.45682768,0.000143409,0.007645671
YJR143C,624.3556073,1.231140283,0.290225268,17.89606821,2.33E-05,0.001762083
YIL125W,328.8285261,1.234679939,0.32856213,14.05663677,0.000177387,0.00893175
YJL080C,1350.71199,1.23649529,0.289275001,18.16268179,2.03E-05,0.001598412
YNL112W,898.1566222,1.243994812,0.345364751,12.91458508,0.000326032,0.013036472
YOR341W,1103.649863,1.245509313,0.349725336,12.61978945,0.000381684,0.01482571
YDR232W,363.672884,1.246192721,0.336184125,13.61467365,0.000224424,0.01017017
