GeneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
YNL141W,120.1689302,1.967745551,0.350335055,5.616753233,1.95E-08,1.70E-06
YKL029C,333.505426,1.995945595,0.282218061,7.072352447,1.52E-12,2.61E-10
YCR037C,52.57266648,1.998288165,0.461898832,4.326246412,1.52E-05,0.000543641
YGR159C,805.570088,2.002399427,0.262955108,7.614985856,2.64E-14,5.76E-12
YOR287C,18.56603851,2.018925364,0.738227355,2.734828711,0.006241274,0.064351786
YBR104W,26.07203278,2.035092405,0.635896609,3.200351088,0.001372603,0.021198106
YLR103C,14.56323065,2.035546697,0.795321614,2.559400701,0.010485281,0.093433771
YMR239C,19.76467953,2.041063151,0.703041456,2.90319032,0.003693821,0.043805979
YDR299W,58.77181563,2.054760772,0.448035296,4.586158255,4.51E-06,0.000191897
YPL214C,14.01962626,2.070933259,0.812540259,2.548714646,0.010812073,0.095636069
YFR055W,176.8317039,2.082172694,0.343447006,6.062573433,1.34E-09,1.50E-07
YKL166C,24.56951755,2.12915607,0.657821444,3.236677809,0.001209299,0.019106123
YML075C,250.2572945,2.139889696,0.302080185,7.083846612,1.40E-12,2.49E-10
YIL162W,126.6089764,2.142724591,0.361609877,5.925514559,3.11E-09,3.26E-07
YER044C,93.36083818,2.152349844,0.398442141,5.401913164,6.59E-08,5.03E-06
YNR066C,24.50754276,2.204819035,0.755629879,2.917855813,0.003524473,0.042391398
YJR048W,110.1849613,2.217138085,0.364569644,6.081521379,1.19E-09,1.39E-07
YMR009W,25.94263634,2.222808589,0.643051793,3.456655614,0.000546923,0.010404753
YHR137W,87.36071399,2.280966488,0.413860145,5.511442724,3.56E-08,2.95E-06
YMR120C,217.2428461,2.309171439,0.763597982,3.024066975,0.002494012,0.033504352
YGR183C,12.82225677,2.356226709,0.884107015,2.6650922,0.007696722,0.075443581
YHR071W,12.39825896,2.38542344,0.890479716,2.678807162,0.007388493,0.073072038
YGR142W,53.30541243,2.403303249,0.477394103,5.034212269,4.80E-07,2.85E-05
YNL111C,119.2343875,2.450686766,0.372344828,6.58176664,4.65E-11,6.20E-09
YGL211W,16.71855149,2.468842551,0.805393184,3.065387937,0.002173878,0.029917299
YLL012W,57.13707284,2.482768806,0.469741264,5.285396442,1.25E-07,8.99E-06
YAL040C,69.08900479,2.527016825,0.459124351,5.503992148,3.71E-08,3.02E-06
YOL014W,12.54872427,2.588927772,0.936746264,2.763744967,0.005714218,0.060189943
YOR319W,16.9081736,2.634783053,0.851063644,3.095870764,0.001962359,0.027885233
YKR046C,109.1286171,2.687609177,0.386029565,6.962184813,3.35E-12,5.55E-10
YDR380W,66.36565506,2.740189296,0.480591984,5.701695798,1.19E-08,1.10E-06
YGL117W,11.55189864,2.757158508,0.995939077,2.76840077,0.005633214,0.060189943
YKL201C,37.39778806,2.776953817,0.579682634,4.790472676,1.66E-06,8.41E-05
YLR460C,32.86362119,2.819344274,0.632110664,4.460206788,8.19E-06,0.000330481
YJL088W,35.33836607,2.973548649,0.609893819,4.875518581,1.09E-06,5.60E-05
YMR316W,18.97708357,3.017400448,0.822610965,3.668077106,0.000244381,0.005643098
YDR453C,9.474197125,3.232331113,1.156747756,2.794326677,0.005200791,0.05711998
YOR208W,11.72653283,3.293758216,1.086035954,3.032826128,0.002422751,0.03296452
YBR008C,10.82117626,3.305263143,1.096608853,3.014076655,0.002577627,0.034000816
YPL052W,9.899462649,3.543784592,1.002235255,3.535880998,0.000406418,0.008167466
YPR013C,21.61270709,3.563937028,0.836062055,4.262766151,2.02E-05,0.000682945
YER081W,137.5064172,3.752176192,0.427528378,8.776437732,1.69E-18,9.00E-16
YML002W,11.20663525,3.759268746,1.259064572,2.985763265,0.002828715,0.035976899
YLR205C,18.27551417,4.028702983,1.003024816,4.016553648,5.91E-05,0.001678362
YKL187C,7.197955377,4.371722775,1.575690582,2.774480488,0.005528995,0.05954207
YDR444W,7.323043636,4.393594681,1.572611804,2.793820236,0.005208943,0.05711998
YBR083W,7.458937218,4.414824682,1.566298763,2.818635107,0.004822831,0.053250706
YML081C-A,7.684055207,4.741558787,1.657232049,2.861131481,0.004221319,0.048389015
YPL088W,38.39079833,4.870733396,0.8574305,5.680615977,1.34E-08,1.19E-06
YPL171C,4.333497519,5.066778582,1.816315877,2.789591087,0.005277465,0.057739553
YOR032C,4.615364131,5.131906754,1.794869816,2.859208344,0.004246998,0.04856745
YHL043W,10.28538426,5.480953354,1.635300384,3.35164928,0.000803317,0.014099778
YJL108C,6.355254564,5.613338361,1.707091916,3.288246116,0.001008137,0.016754603
YHR049C-A,3.887362711,5.645409413,1.870228973,3.018565905,0.002539742,0.03380181
YNR060W,68.71761869,6.092247604,0.908797514,6.703635859,2.03E-11,3.05E-09
YDL231C,30.93548991,6.488831804,1.400498497,4.633230111,3.60E-06,0.000157191
YLR046C,38.18732185,6.684733884,1.387722403,4.817054094,1.46E-06,7.44E-05
YGR213C,20.69162491,7.310494342,1.546930272,4.725807281,2.29E-06,0.000107928
YDL039C,18.82061612,7.403416191,1.554518197,4.762514976,1.91E-06,9.28E-05
YJL213W,28.34408872,7.520260628,1.522054041,4.940863087,7.78E-07,4.34E-05
YLR411W,35.2359956,8.074925292,1.521260962,5.308047397,1.11E-07,8.15E-06
YGL088W,736.0317987,12.14193357,1.346222723,9.019260599,1.89E-19,1.14E-16
